"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Active__c","LLC_BI__Advance_Rate__c","LLC_BI__Collateral_Code__c","LLC_BI__Condo_PUD__c","LLC_BI__Expire_Date__c","LLC_BI__Field_Set__c","LLC_BI__Icon_Background_Color__c","LLC_BI__Icon_Color__c","LLC_BI__Icon_Type__c","LLC_BI__Manufactured_Home__c","LLC_BI__Regulatory_Rate__c","LLC_BI__Screen__c","LLC_BI__Start_Date__c","LLC_BI__Subtype__c","LLC_BI__Type__c","LLC_BI__lookupKey__c","LLC_BI__Collateral_Configuration__c","LLC_BI__Highest_Type__c","LLC_BI__Is_Complex__c","LLC_BI__Parent_Type__c","LLC_BI__Valuation_Source__c","LLC_BI__Valuation_Type__c","nPortal__OA_Collateral_Image__c","nPortal__OA_Collateral_Name__c","nPortal__OA_Collateral_Type_Display_Field_Set__c","nPortal__OA_Collateral_Type_Screen__c","LLC_BI__Category__c","LLC_BI__Leasing_Screen__c","LLC_BI__Group_Type__c"
"a165f000000lIvLAAU","0055f0000032WxDAAU","","Titled-Motor Vehicle","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Motor Vehicle","Titled","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","https://business-saas-6642--c.na50.content.force.com/servlet/servlet.ImageServer?id=0156A000001ZPBc&oid=00D6A000000ftkS&lastMod=1523458966000","Motor Vehicle Purchase","OAMotorVehicleDetails","a0U5f000000xfZrEAI","","a0U5f000000xfZwEAI",""
"a165f000000lIvMAAU","0055f0000032WxDAAU","","Titled-Mobile Home","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","LLC_BI__Manage_Collateral_Titled","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Mobile Home","Titled","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvNAAU","0055f0000032WxDAAU","","Titled-Ship","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","LLC_BI__Manage_Collateral_Titled","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Ship","Titled","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvOAAU","0055f0000032WxDAAU","","Titled-Aircraft","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","LLC_BI__Manage_Collateral_Titled","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Aircraft","Titled","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvPAAU","0055f0000032WxDAAU","","Titled-Other Titled","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","LLC_BI__Manage_Collateral_Titled","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Other Titled","Titled","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvQAAU","0055f0000032WxDAAU","","Possessory-Savings/CDs","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Savings/CDs","Possessory","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvRAAU","0055f0000032WxDAAU","","Possessory-Securities","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Securities","Possessory","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvSAAU","0055f0000032WxDAAU","","Possessory-Note/Instrument","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Note/Instrument","Possessory","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvTAAU","0055f0000032WxDAAU","","Possessory-Receipts/Bills","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Receipts/Bills","Possessory","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvUAAU","0055f0000032WxDAAU","","Possessory-Letter of Credit","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Letter of Credit","Possessory","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvVAAU","0055f0000032WxDAAU","","Possessory-Other Possessory","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Other Possessory","Possessory","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvWAAU","0055f0000032WxDAAU","","Possessory-Life Insurance","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Life Insurance","Possessory","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvXAAU","0055f0000032WxDAAU","","UCC-Inventory","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Inventory","UCC","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvYAAU","0055f0000032WxDAAU","","UCC-Chattel Paper","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Chattel Paper","UCC","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvZAAU","0055f0000032WxDAAU","","UCC-Accounts","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Accounts","UCC","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvaAAE","0055f0000032WxDAAU","","UCC-Equipment","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Equipment","UCC","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvbAAE","0055f0000032WxDAAU","","UCC-General Intangibles","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","General Intangibles","UCC","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
"a165f000000lIvcAAE","0055f0000032WxDAAU","","UCC-Farm Products","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxKAAU","","","","","","100.0","","false","","","","#ffffff","","false","","a0U5f000000xfZVEAY","2021-10-27","Farm Products","UCC","","{""prodPkgEditScreen"":""42472525317974822"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42981778891081982"",""copyCollateralScreen"":""42981778891081982"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42981778891081982"",""addChildCollateralScreen"":""42981778891081982""}","","false","","","","","","","","","a0U5f000000xfZwEAI",""
